References,Qty,Description,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"C11,C12",2,,AVX,F911A476MAAAJ6,478-12528-6-ND,581F911A476MAAAJ6,,,2992443RL
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10",10,,Yageo,CC0603KRX7R8BB224,311-1803-6-ND,603CC603KRX7R8BB224,,,
U1,1,,Ricoh,RN5RK501A-TR-FE,RN5RK501A-TR-FE-ND,848RN5RK501ATRFE,,,
U2,1,,Texas Instruments,PCA9306DCTR,296-18509-1-ND,595PCA9306DCTR,6627415,,3120911
D1,1,,ON Semiconductor,MBR0520LT1G,MBR0520LT1GOSDKR-ND,863MBR0520LT1G,463432,,1783602
P1,1,,FCI,10029449-111RLF,609-4614-1-ND,64910029449111RLF,,,
D2,1,,Lite-On,LTST-C170TGKT,160-1887-6-ND,859LTSTC170TGKT,6920922,,
L1,1,,Taiyo Yuden,CBC3225T101KRV,587-6400-1-ND,963CBC3225T101KRV,,,
C13,1,,KEMET,C0603C471K3RACTU,399-9086-1-ND,80C0603C471K3R,,,2581068
R5,1,,Panasonic,ERJ-3EKF1003V,P100KHDKR-ND,667ERJ3EKF1003V,1755949,,2303232
"R3,R4",2,,Yageo,AC0603FR-073K3L,YAG3605DKR-ND,603AC0603FR073K3L,,,
"R2,R6,R7",3,,Yageo,AC0603FR-074K7L,YAG3613DKR-ND,603AC0603FR074K7L,,,
R1,1,,Yageo,RC0603FR-07510RL,311-510HRDKR-ND,603RC0603FR07510RL,,,1799351
